,Date,Form,New,Matters_level01,Matters_level2
804,1622-06-21T00:00:00Z,Ausschreiben,True,4 Economic order. Work and professional regulations,Trade and Services
805,1622-06-24T00:00:00Z,Verordnung,True,2 Public Order and Safety,Administration and Justice
806,1622-07-19T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
807,1622-07-30T00:00:00Z,Ordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
808,1622-08-02T00:00:00Z,Mandat,True,4 Economic order. Work and professional regulations,Craft and trade
809,1622-08-06T00:00:00Z,Mandat,True,4 Economic order. Work and professional regulations,Trade and Services
811,1622-08-31T00:00:00Z,Mandat,True,4 Economic order. Work and professional regulations,Trade and Services
812,1622-09-03T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Agriculture
813,1622-09-06T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
814,1622-09-10T00:00:00Z,Ordnung,True,4 Economic order. Work and professional regulations,Trade and Services
815,1622-09-19T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
816,1622-09-21T00:00:00Z,Ausschreiben,True,4 Economic order. Work and professional regulations,Monetary and Credit System
817,1622-09-27T00:00:00Z,Ordnung,True,4 Economic order. Work and professional regulations,Trade and Services
818,1622-10-07T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
820,1622-10-12T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
821,1622-10-17T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
822,1622-10-27T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
823,1622-10-30T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
824,1622-10-31T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
825,1622-12-01T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
826,1622-12-03T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
827,1622-12-07T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
828,1623-02-28T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
829,1623-03-28T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
830,1623-03-31T00:00:00Z,Ordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
831,1623-04-19T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
832,1623-06-23T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Agriculture
833,1623-06-24T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
835,1623-08-01T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
836,1623-08-18T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
837,1623-09-10T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
838,1623-09-13T00:00:00Z,Ordnung,True,4 Economic order. Work and professional regulations,Trade and Services
840,1623-11-12T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
841,1624-01-06T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
843,1624-04-06T00:00:00Z,Ordnung,False,4 Economic order. Work and professional regulations,Craft and trade
844,1624-04-20T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
845,1624-05-22T00:00:00Z,Verordnung,False,4 Economic order. Work and professional regulations,Trade and Services
846,1624-06-29T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Agriculture
847,1624-06-30T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
848,1624-07-01T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
849,1624-07-23T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
850,1624-08-28T00:00:00Z,Mandat,True,4 Economic order. Work and professional regulations,Trade and Services
851,1624-09-02T00:00:00Z,Ordnung,True,1 Social Order and Religion,Matters of Religion
854,1624-09-30T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
856,1625-12-01T00:00:00Z,Ordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
857,1625-12-23T00:00:00Z,Verordnung,True,5 Land Divisions,Water
858,1625-01-03T00:00:00Z,Ordnung,True,4 Economic order. Work and professional regulations,Craft and trade
859,1625-01-19T00:00:00Z,Verordnung,True,3 Social Services. Healthcare. Education. Culture,Poor Relief
860,1625-02-03T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
861,1625-03-17T00:00:00Z,Ordnung,True,3 Social Services. Healthcare. Education. Culture,Poor Relief
862,1625-04-23T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
863,1625-05-17T00:00:00Z,Ordnung,True,1 Social Order and Religion,Matters of Religion
864,1625-06-04T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
865,1625-06-07T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
866,1625-06-16T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Agriculture
867,1625-06-19T00:00:00Z,Verordnung,True,2 Public Order and Safety,Administration and Justice
868,1625-07-09T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
870,1625-08-01T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Agriculture
871,1625-08-18T00:00:00Z,Ordnung,True,4 Economic order. Work and professional regulations,Trade and Services
872,1625-08-21T00:00:00Z,Ordnung,True,4 Economic order. Work and professional regulations,Agriculture
873,1625-10-26T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Forestry and Land Use
875,1625-11-05T00:00:00Z,Verordnung,False,4 Economic order. Work and professional regulations,Monetary and Credit System
879,1626-04-15T00:00:00Z,Ordnung,True,2 Public Order and Safety,Administration and Justice
880,1626-05-08T00:00:00Z,Ausschreiben,True,1 Social Order and Religion,Marginal Groups
882,1626-06-29T00:00:00Z,Ordnung,True,5 Land Divisions,Water
883,1626-06-30T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
884,1626-07-08T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
885,1626-07-22T00:00:00Z,Ausschreiben,True,1 Social Order and Religion,Marginal Groups
886,1626-07-22T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
887,1626-10-25T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
888,1626-11-07T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
889,1626-11-10T00:00:00Z,Ordnung,True,4 Economic order. Work and professional regulations,Trade and Services
890,1626-11-13T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
891,1627-02-03T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Forestry and Land Use
892,1627-03-07T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Agriculture
893,1627-03-22T00:00:00Z,Mandat,True,4 Economic order. Work and professional regulations,Monetary and Credit System
894,1627-04-11T00:00:00Z,Verordnung,True,1 Social Order and Religion,Marginal Groups
895,1627-06-05T00:00:00Z,Verordnung,False,4 Economic order. Work and professional regulations,Trade and Services
896,1627-07-28T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
897,1627-08-16T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
898,1627-09-04T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
899,1627-09-19T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
900,1627-09-28T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
901,1627-09-28T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
902,1627-11-20T00:00:00Z,Verordnung,False,4 Economic order. Work and professional regulations,Trade and Services
903,1627-11-27T00:00:00Z,Verordnung,True,1 Social Order and Religion,Marginal Groups
904,1627-11-27T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
905,1628-12-23T00:00:00Z,Verordnung,True,2 Public Order and Safety,Administration and Justice
906,1628-12-23T00:00:00Z,Ordnung,True,4 Economic order. Work and professional regulations,Trade and Services
907,1628-01-05T00:00:00Z,Verordnung,True,1 Social Order and Religion,Marginal Groups
908,1628-02-08T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
909,1628-04-01T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
910,1628-05-12T00:00:00Z,Ordnung,True,1 Social Order and Religion,Marginal Groups
912,1628-08-11T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
913,1628-08-23T00:00:00Z,Ermahnung,True,1 Social Order and Religion,Matters of Religion
914,1628-08-25T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
915,1628-09-01T00:00:00Z,Ordnung,True,1 Social Order and Religion,Matters of Religion
916,1628-09-27T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
917,1628-10-27T00:00:00Z,Verordnung,True,1 Social Order and Religion,Marginal Groups
918,1628-10-27T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
919,1628-11-21T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
920,1628-11-22T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
921,1628-12-26T00:00:00Z,Verordnung,True,2 Public Order and Safety,Administration and Justice
923,1629-03-10T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Agriculture
924,1629-04-04T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
926,1629-06-07T00:00:00Z,Verordnung,True,2 Public Order and Safety,Administration and Justice
928,1629-08-31T00:00:00Z,Verordnung,True,1 Social Order and Religion,Marginal Groups
929,1629-08-31T00:00:00Z,Verordnung,True,3 Social Services. Healthcare. Education. Culture,Healthcare
930,1629-09-02T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
931,1629-09-18T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Craft and trade
932,1629-09-30T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
933,1629-09-30T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
934,1629-11-02T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
935,1629-11-02T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
936,1630-01-04T00:00:00Z,Verordnung,True,2 Public Order and Safety,Administration and Justice
939,1630-02-20T00:00:00Z,Verordnung,True,5 Land Divisions,Public Construction Infrastructure
940,1630-03-18T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
941,1630-04-05T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
942,1630-04-13T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
943,1630-05-26T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
944,1630-06-07T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
945,1630-06-29T00:00:00Z,Verordnung,False,4 Economic order. Work and professional regulations,Trade and Services
946,1630-06-29T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
947,1630-07-24T00:00:00Z,Verordnung,True,1 Social Order and Religion,Marginal Groups
948,1630-07-30T00:00:00Z,Ordnung,False,4 Economic order. Work and professional regulations,Trade and Services
949,1630-08-04T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
950,1630-08-21T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
951,1630-08-21T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
952,1630-08-21T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
953,1630-08-26T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Agriculture
954,1630-09-10T00:00:00Z,Verordnung,False,3 Social Services. Healthcare. Education. Culture,Poor Relief
956,1630-12-01T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
957,1631-01-07T00:00:00Z,Ordnung,True,4 Economic order. Work and professional regulations,Trade and Services
958,1631-01-21T00:00:00Z,Verordnung,True,1 Social Order and Religion,Marginal Groups
959,1631-02-09T00:00:00Z,Ordnung,False,4 Economic order. Work and professional regulations,Trade and Services
960,1631-02-23T00:00:00Z,Verordnung,True,3 Social Services. Healthcare. Education. Culture,Poor Relief
964,1631-07-16T00:00:00Z,Mandat,True,4 Economic order. Work and professional regulations,Agriculture
965,1631-08-20T00:00:00Z,Verordnung,True,1 Social Order and Religion,Marginal Groups
967,1631-10-06T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Craft and trade
968,1631-11-03T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
969,1631-11-09T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Craft and trade
970,1632-05-28T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
972,1632-08-20T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
973,1632-08-27T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
974,1632-10-27T00:00:00Z,Verordnung,True,5 Land Divisions,Water
975,1633-05-20T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
977,1633-05-20T00:00:00Z,Verordnung,True,2 Public Order and Safety,Administration and Justice
979,1633-08-29T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
980,1633-08-29T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
983,1633-09-28T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
988,1633-12-09T00:00:00Z,Verordnung,True,2 Public Order and Safety,Administration and Justice
989,1633-12-10T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
990,1633-12-20T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
991,1633-12-21T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
992,1634-12-01T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Forestry and Land Use
993,1634-01-04T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
994,1634-02-10T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
996,1634-02-24T00:00:00Z,Verordnung,False,4 Economic order. Work and professional regulations,Monetary and Credit System
997,1634-03-06T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
998,1634-03-22T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
999,1634-03-26T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1000,1634-04-19T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Forestry and Land Use
1003,1634-07-05T00:00:00Z,Verordnung,True,5 Land Divisions,Land Real Estate
1004,1634-07-05T00:00:00Z,Verordnung,True,5 Land Divisions,Land Real Estate
1006,1634-07-31T00:00:00Z,Verordnung,True,2 Public Order and Safety,Administration and Justice
1007,1634-07-31T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1009,1634-08-29T00:00:00Z,Verordnung,False,4 Economic order. Work and professional regulations,Agriculture
1011,1634-09-06T00:00:00Z,Verordnung,True,2 Public Order and Safety,Administration and Justice
1012,1634-09-16T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1013,1634-09-19T00:00:00Z,Ordnung,True,4 Economic order. Work and professional regulations,Craft and trade
1014,1634-09-25T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1015,1634-10-31T00:00:00Z,Ordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
1016,1634-11-04T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1018,1634-12-01T00:00:00Z,Verordnung,True,1 Social Order and Religion,Marginal Groups
1019,1634-12-01T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1020,1634-12-05T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1021,1634-12-05T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1022,1634-12-19T00:00:00Z,Ordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1023,1634-12-23T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1024,1635-01-07T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Agriculture
1027,1635-01-15T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
1028,1635-01-19T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1029,1635-01-28T00:00:00Z,Ordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1033,1635-03-05T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Forestry and Land Use
1034,1635-03-09T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1035,1635-03-10T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1036,1635-04-06T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
1040,1635-06-03T00:00:00Z,Verordnung,False,4 Economic order. Work and professional regulations,Forestry and Land Use
1041,1635-06-04T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1043,1635-07-09T00:00:00Z,Ordnung,True,1 Social Order and Religion,Marginal Groups
1044,1635-07-09T00:00:00Z,Edikt und Gebot,True,1 Social Order and Religion,Marginal Groups
1048,1635-08-01T00:00:00Z,Verordnung,True,3 Social Services. Healthcare. Education. Culture,Poor Relief
1051,1635-08-15T00:00:00Z,Ordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1053,1635-08-27T00:00:00Z,Verordnung,False,4 Economic order. Work and professional regulations,Trade and Services
1054,1635-08-27T00:00:00Z,Verordnung,False,4 Economic order. Work and professional regulations,Trade and Services
1057,1635-09-22T00:00:00Z,Mandat,False,4 Economic order. Work and professional regulations,Trade and Services
1059,1635-10-27T00:00:00Z,Verordnung,False,4 Economic order. Work and professional regulations,Forestry and Land Use
1061,1635-11-09T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1062,1635-11-09T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1063,1635-11-16T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
1065,1635-11-25T00:00:00Z,Verordnung,False,4 Economic order. Work and professional regulations,Trade and Services
1066,1635-11-27T00:00:00Z,Ordnung,False,4 Economic order. Work and professional regulations,Trade and Services
1067,1635-12-04T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Forestry and Land Use
1070,1636-01-18T00:00:00Z,Verordnung,True,3 Social Services. Healthcare. Education. Culture,Poor Relief
1072,1636-01-29T00:00:00Z,Verordnung,True,5 Land Divisions,Land Real Estate
1073,1636-01-30T00:00:00Z,Ordnung,True,4 Economic order. Work and professional regulations,Forestry and Land Use
1074,1636-02-04T00:00:00Z,Ordnung,False,4 Economic order. Work and professional regulations,Trade and Services
1075,1636-02-11T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
1077,1636-02-22T00:00:00Z,Ordnung,True,2 Public Order and Safety,Administration and Justice
1078,1636-02-22T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1079,1636-03-07T00:00:00Z,Verordnung,True,1 Social Order and Religion,Marginal Groups
1080,1636-03-07T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
1081,1636-03-14T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
1082,1636-03-19T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1085,1636-05-12T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1090,1636-08-04T00:00:00Z,Verordnung,False,4 Economic order. Work and professional regulations,Monetary and Credit System
1091,1636-08-23T00:00:00Z,Ordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1093,1636-08-31T00:00:00Z,Ordnung,False,4 Economic order. Work and professional regulations,Trade and Services
1094,1636-08-31T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1095,1636-09-03T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1096,1636-09-13T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1097,1636-09-29T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1098,1636-11-09T00:00:00Z,Verordnung,True,3 Social Services. Healthcare. Education. Culture,Poor Relief
1099,1636-11-15T00:00:00Z,Verordnung,True,3 Social Services. Healthcare. Education. Culture,Poor Relief
1100,1636-11-15T00:00:00Z,Verordnung,True,3 Social Services. Healthcare. Education. Culture,Poor Relief
1101,1636-12-09T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1102,1637-01-17T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Forestry and Land Use
1103,1637-01-21T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1104,1637-02-18T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1106,1637-03-04T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
1107,1637-04-06T00:00:00Z,Verordnung,True,2 Public Order and Safety,Administration and Justice
1110,1637-04-20T00:00:00Z,Verordnung,True,1 Social Order and Religion,Marginal Groups
1112,1637-05-13T00:00:00Z,Verordnung,True,1 Social Order and Religion,Marginal Groups
1113,1637-06-06T00:00:00Z,Verordnung,False,4 Economic order. Work and professional regulations,Trade and Services
1115,1637-07-11T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1116,1637-07-12T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Agriculture
1118,1637-07-29T00:00:00Z,Ordnung,True,4 Economic order. Work and professional regulations,Forestry and Land Use
1120,1637-08-11T00:00:00Z,Verordnung,False,4 Economic order. Work and professional regulations,Trade and Services
1122,1637-08-22T00:00:00Z,Ordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
1123,1637-08-28T00:00:00Z,Verordnung,False,1 Social Order and Religion,Marginal Groups
1124,1637-09-05T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1125,1637-10-19T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1126,1637-10-23T00:00:00Z,Verordnung,True,3 Social Services. Healthcare. Education. Culture,Poor Relief
1129,1637-11-02T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1136,1638-02-17T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1137,1638-02-21T00:00:00Z,Verordnung,False,4 Economic order. Work and professional regulations,Craft and trade
1139,1638-03-03T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1142,1638-04-20T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Agriculture
1147,1638-05-23T00:00:00Z,Verordnung,True,3 Social Services. Healthcare. Education. Culture,Healthcare
1149,1638-05-28T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1150,1638-05-29T00:00:00Z,Verordnung,True,1 Social Order and Religion,Marginal Groups
1151,1638-05-31T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1152,1638-06-04T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
1153,1638-06-06T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
1154,1638-06-20T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
1155,1638-06-20T00:00:00Z,Verordnung,False,4 Economic order. Work and professional regulations,Trade and Services
1156,1638-07-10T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
1157,1638-07-16T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
1158,1638-07-23T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
1159,1638-08-29T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1160,1638-08-30T00:00:00Z,Ordnung,True,4 Economic order. Work and professional regulations,Work Order/Work Regulation
1163,1638-10-22T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1164,1638-11-03T00:00:00Z,Verordnung,True,3 Social Services. Healthcare. Education. Culture,Poor Relief
1165,1638-11-05T00:00:00Z,Verordnung,False,4 Economic order. Work and professional regulations,Trade and Services
1167,1638-12-25T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
1176,1639-03-16T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
1177,1639-04-18T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
1178,1639-04-18T00:00:00Z,Verordnung,True,2 Public Order and Safety,Administration and Justice
1179,1639-04-26T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
1181,1639-05-07T00:00:00Z,Verordnung,True,1 Social Order and Religion,Marginal Groups
1182,1639-05-27T00:00:00Z,Ordnung,True,1 Social Order and Religion,Abundance and Luxury
1184,1639-06-14T00:00:00Z,Verordnung,True,2 Public Order and Safety,Administration and Justice
1185,1639-06-25T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
1186,1639-07-01T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1187,1639-07-02T00:00:00Z,Verordnung,False,4 Economic order. Work and professional regulations,Trade and Services
1188,1639-07-05T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1189,1639-07-25T00:00:00Z,Ordnung,False,4 Economic order. Work and professional regulations,Trade and Services
1190,1639-07-26T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1195,1639-08-28T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Agriculture
1196,1639-09-16T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1197,1639-09-16T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
1198,1639-09-28T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1199,1639-10-02T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1200,1639-10-03T00:00:00Z,Verordnung,True,1 Social Order and Religion,Marginal Groups
1201,1639-10-14T00:00:00Z,Ordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1203,1639-11-13T00:00:00Z,Verordnung,False,4 Economic order. Work and professional regulations,Work Order/Work Regulation
1204,1639-11-28T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1205,1640-01-09T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
1206,1640-01-17T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
